Degree,Specialization,YearOfPassing,CGPA,Certifications,JobRole
BCA,DS,2021,7.79,20,Data Scientist
Other,CSE,2017,6.9,6,Data Analyst
B.Tech,ML,2020,6.44,14,Data Scientist
PhD,ML,2019,6.91,6,Data Scientist
B.Tech,CE,2022,4.41,8,Software Engineer
BCA,IT,2019,6.54,8,Software Engineer
B.Tech,CSE,2020,7.23,9,Software Engineer
PhD,Other,2019,8.57,12,Manager
M.Tech,ML,2020,6.18,1,Manager
PhD,CSE,2024,5.83,9,Software Engineer
B.Tech,AI,2020,6.2,11,ML Developer
M.Tech,IT,2021,7.9,19,Software Engineer
B.Tech,CE,2021,7.19,1,Software Engineer
B.Tech,CE,2020,6.16,20,Software Engineer
B.Tech,ML,2019,7.42,17,AI Developer
B.Tech,IT,2019,6.92,18,Software Engineer
B.Tech,IT,2021,7.96,6,Data Analyst
B.Tech,ML,2019,5.96,10,Software Engineer
B.Tech,AI,2020,6.41,15,ML Developer
B.Tech,CSE,2022,6.33,6,Software Engineer
B.Tech,AI,2024,5.04,11,Manager
BCA,ML,2019,7.16,8,Data Scientist
B.Tech,CE,2022,7.11,20,Software Engineer
BCA,CE,2021,6.81,19,Software Engineer
B.Tech,AI,2022,6.52,13,Software Engineer
B.Tech,AI,2016,5.1,14,Software Engineer
B.Tech,Other,2023,6.3,15,Manager
M.Tech,DS,2016,6.39,15,Data Analyst
M.Tech,IT,2023,5.84,20,Software Engineer
B.Tech,ML,2022,6.61,20,Data Scientist
PhD,IT,2023,7.28,15,Software Engineer
PhD,ML,2022,9.06,15,AI Developer
B.Tech,AI,2023,7.01,16,ML Developer
B.Tech,CE,2019,7.11,8,Data Analyst
B.Tech,DS,2016,6.71,5,Data Analyst
B.Tech,CSE,2018,4.5,3,Data Analyst
B.Tech,IT,2021,6.77,2,Software Engineer
BCA,IT,2024,6.87,1,Data Analyst
M.Tech,DS,2019,9.76,13,Data Scientist
Other,IT,2023,6.57,20,Software Engineer
PhD,IT,2019,7.16,14,Software Engineer
M.Tech,IT,2021,6.76,6,Data Analyst
Other,Other,2023,5.4,1,ML Developer
M.Tech,AI,2016,8.17,14,AI Developer
M.Tech,CE,2021,7.7,11,Software Engineer
B.Tech,CSE,2021,7.75,9,Software Engineer
BCA,ML,2019,5.71,3,ML Developer
B.Tech,IT,2020,8.48,8,Software Engineer
BCA,AI,2015,5.12,8,Software Engineer
BCA,AI,2018,7.5,5,ML Developer
B.Tech,DS,2022,9.43,9,Data Scientist
B.Tech,AI,2016,5.61,6,AI Developer
B.Tech,CE,2019,6.12,19,Software Engineer
M.Tech,Other,2021,6.92,7,Manager
M.Tech,ML,2018,6.2,4,Data Scientist
BCA,DS,2024,4.94,4,Data Scientist
M.Tech,CE,2023,6.88,14,Software Engineer
M.Tech,CE,2020,5.53,1,Data Analyst
BCA,CSE,2020,7.37,15,Software Engineer
BCA,IT,2023,5.7,9,Software Engineer
M.Tech,DS,2022,8.66,15,Data Analyst
BCA,CSE,2018,5.86,3,Data Analyst
PhD,CSE,2022,6.41,19,Software Engineer
M.Tech,IT,2015,7.78,16,Software Engineer
PhD,CSE,2018,5.32,12,Software Engineer
BCA,CSE,2024,7.07,9,Software Engineer
M.Tech,IT,2018,8.37,3,Software Engineer
BCA,IT,2018,4.87,16,Software Engineer
M.Tech,IT,2015,7.02,3,Data Analyst
B.Tech,AI,2019,7.11,19,AI Developer
M.Tech,CSE,2023,7.74,11,Software Engineer
B.Tech,IT,2019,5.32,9,Software Engineer
B.Tech,ML,2020,5.22,4,Data Scientist
M.Tech,ML,2017,7.43,7,AI Developer
M.Tech,ML,2023,7.16,20,AI Developer
B.Tech,CSE,2018,7.1,12,Software Engineer
B.Tech,CE,2023,7.22,5,Data Analyst
B.Tech,CE,2019,5.98,5,Data Analyst
B.Tech,CE,2019,7.08,16,Software Engineer
M.Tech,CSE,2015,7.15,9,Software Engineer
Other,IT,2016,5.94,13,Software Engineer
M.Tech,AI,2015,9.04,5,AI Developer
M.Tech,CSE,2018,7.37,4,Data Analyst
M.Tech,ML,2018,5.37,17,ML Developer
M.Tech,IT,2024,7.59,14,Software Engineer
B.Tech,AI,2024,5.63,4,Software Engineer
M.Tech,CSE,2016,7.74,6,Software Engineer
B.Tech,CE,2015,8.19,14,Software Engineer
M.Tech,AI,2019,5.82,2,Software Engineer
B.Tech,CSE,2022,7.96,3,Software Engineer
Other,ML,2024,7.3,7,ML Developer
M.Tech,AI,2019,7.79,5,AI Developer
B.Tech,CSE,2024,9.08,10,Software Engineer
B.Tech,IT,2019,6.51,13,Software Engineer
Other,IT,2022,5.9,15,Software Engineer
B.Tech,CE,2021,5.73,11,Software Engineer
M.Tech,CE,2018,5.82,19,Software Engineer
M.Tech,CE,2019,6.71,19,Software Engineer
B.Tech,ML,2022,7.21,17,ML Developer
Other,CSE,2024,7.13,14,Software Engineer
M.Tech,IT,2016,7.79,16,Software Engineer
B.Tech,CSE,2016,6.82,6,Data Analyst
B.Tech,IT,2021,8.54,18,Software Engineer
B.Tech,CE,2019,6.48,11,Software Engineer
B.Tech,ML,2023,10.0,1,ML Developer
M.Tech,IT,2018,7.55,17,Software Engineer
B.Tech,ML,2022,5.77,2,Software Engineer
B.Tech,CSE,2019,5.51,15,Software Engineer
PhD,IT,2015,7.38,20,Software Engineer
BCA,ML,2019,6.53,18,Manager
M.Tech,CE,2016,7.66,15,Software Engineer
Other,AI,2017,7.37,16,Data Scientist
B.Tech,ML,2021,6.71,16,ML Developer
B.Tech,AI,2021,5.78,7,Data Analyst
M.Tech,DS,2016,4.98,9,Data Scientist
PhD,CSE,2023,6.26,9,Software Engineer
BCA,CSE,2019,7.83,19,Software Engineer
M.Tech,AI,2017,7.06,15,ML Developer
B.Tech,AI,2023,5.31,13,ML Developer
Other,DS,2018,7.01,19,Data Analyst
PhD,IT,2020,7.26,16,Software Engineer
BCA,ML,2021,5.74,5,ML Developer
Other,CSE,2024,6.98,11,Software Engineer
PhD,DS,2022,6.87,4,Data Analyst
M.Tech,ML,2021,5.43,5,Manager
M.Tech,Other,2020,7.23,20,Data Scientist
B.Tech,CE,2020,7.47,18,Software Engineer
B.Tech,CSE,2022,8.1,18,Software Engineer
B.Tech,CE,2019,8.06,8,Software Engineer
B.Tech,CE,2016,5.15,15,Software Engineer
B.Tech,CSE,2015,5.67,2,Data Analyst
BCA,CSE,2020,7.42,14,Software Engineer
B.Tech,IT,2024,7.42,6,Software Engineer
B.Tech,AI,2021,7.42,20,ML Developer
M.Tech,AI,2018,10.0,15,ML Developer
M.Tech,AI,2022,7.49,10,ML Developer
B.Tech,IT,2020,8.16,19,Software Engineer
B.Tech,Other,2019,7.94,15,AI Developer
B.Tech,IT,2022,7.58,4,Software Engineer
B.Tech,IT,2019,6.42,10,Software Engineer
B.Tech,ML,2021,7.71,9,AI Developer
PhD,ML,2015,5.87,20,Manager
BCA,DS,2018,6.52,20,Data Scientist
B.Tech,CSE,2019,6.22,5,Software Engineer
Other,AI,2019,6.9,15,Manager
M.Tech,ML,2016,9.58,10,AI Developer
B.Tech,CSE,2023,4.56,12,Software Engineer
M.Tech,DS,2017,7.62,9,Data Scientist
Other,Other,2019,4.86,11,Manager
M.Tech,CE,2018,6.23,13,Software Engineer
Other,ML,2020,8.11,3,ML Developer
B.Tech,IT,2022,6.88,12,Software Engineer
M.Tech,AI,2024,5.51,13,Data Scientist
Other,CSE,2018,5.94,16,Software Engineer
B.Tech,DS,2023,7.62,11,Data Scientist
B.Tech,CE,2022,5.92,10,Software Engineer
M.Tech,CSE,2015,7.06,2,Data Analyst
Other,CSE,2018,6.85,18,Software Engineer
B.Tech,IT,2023,6.02,14,Software Engineer
M.Tech,ML,2021,9.37,4,Data Scientist
M.Tech,DS,2019,7.56,2,Data Scientist
B.Tech,IT,2018,4.37,12,Software Engineer
B.Tech,AI,2023,7.02,12,AI Developer
B.Tech,Other,2022,6.01,3,Data Scientist
B.Tech,AI,2015,7.82,2,ML Developer
B.Tech,CSE,2024,5.85,7,Software Engineer
BCA,AI,2024,6.66,7,Software Engineer
B.Tech,CSE,2024,7.41,1,Data Analyst
PhD,CSE,2017,7.84,18,Software Engineer
B.Tech,CSE,2015,5.36,5,Software Engineer
B.Tech,ML,2024,6.4,11,Manager
B.Tech,CE,2021,6.23,17,Software Engineer
B.Tech,CE,2022,6.02,12,Software Engineer
M.Tech,CSE,2023,8.92,8,Software Engineer
BCA,DS,2023,7.29,10,Data Analyst
Other,CE,2022,5.29,13,Software Engineer
B.Tech,CSE,2022,7.9,3,Software Engineer
B.Tech,CSE,2017,9.35,9,Software Engineer
M.Tech,AI,2020,8.04,13,Data Scientist
M.Tech,IT,2024,4.98,14,Software Engineer
B.Tech,ML,2023,6.22,7,ML Developer
M.Tech,CSE,2020,8.32,15,Software Engineer
B.Tech,ML,2020,5.95,14,AI Developer
M.Tech,IT,2017,7.33,16,Software Engineer
B.Tech,ML,2016,7.73,14,AI Developer
BCA,ML,2023,5.69,2,Data Analyst
Other,AI,2016,6.73,14,AI Developer
PhD,DS,2021,2.91,2,Data Scientist
M.Tech,IT,2024,5.57,17,Software Engineer
B.Tech,AI,2018,6.5,4,AI Developer
BCA,IT,2019,5.3,19,Software Engineer
B.Tech,IT,2023,8.76,20,Software Engineer
M.Tech,AI,2015,5.08,20,Data Scientist
BCA,CSE,2017,6.27,9,Software Engineer
BCA,CSE,2020,6.96,12,Software Engineer
B.Tech,DS,2024,8.53,13,Data Analyst
BCA,Other,2016,5.08,17,Software Engineer
B.Tech,IT,2017,8.2,12,Software Engineer
B.Tech,CSE,2024,6.81,20,Software Engineer
B.Tech,CE,2017,5.62,20,Software Engineer
B.Tech,CE,2022,7.35,14,Software Engineer
M.Tech,IT,2019,7.04,7,Software Engineer
B.Tech,CSE,2024,6.08,16,Software Engineer
M.Tech,CSE,2018,6.88,13,Software Engineer
Other,CE,2018,6.34,10,Software Engineer
Other,ML,2019,6.94,10,AI Developer
B.Tech,IT,2021,7.59,6,Software Engineer
B.Tech,ML,2023,8.7,18,Data Scientist
BCA,CE,2015,5.31,14,Software Engineer
B.Tech,DS,2020,9.36,19,Data Analyst
B.Tech,AI,2019,4.46,4,ML Developer
B.Tech,CSE,2024,6.62,15,Software Engineer
BCA,DS,2016,7.51,14,Data Scientist
B.Tech,AI,2023,7.14,3,AI Developer
B.Tech,CSE,2020,6.05,6,Software Engineer
M.Tech,CSE,2023,6.55,7,Data Analyst
B.Tech,Other,2017,6.21,8,Manager
B.Tech,CSE,2024,6.09,5,Software Engineer
B.Tech,ML,2022,7.82,15,ML Developer
BCA,IT,2024,7.23,20,Software Engineer
B.Tech,Other,2020,5.97,5,ML Developer
B.Tech,IT,2019,7.88,9,Software Engineer
M.Tech,IT,2016,7.17,10,Software Engineer
M.Tech,CE,2020,7.78,10,Software Engineer
B.Tech,DS,2016,7.56,20,Data Analyst
B.Tech,AI,2015,5.81,15,Data Analyst
M.Tech,CSE,2022,6.13,17,Software Engineer
B.Tech,CE,2016,7.7,11,Software Engineer
Other,CE,2017,7.53,2,Software Engineer
BCA,Other,2023,6.77,17,Data Analyst
B.Tech,IT,2019,6.94,13,Software Engineer
B.Tech,CSE,2024,8.33,2,Data Analyst
B.Tech,CE,2021,6.09,10,Software Engineer
B.Tech,DS,2024,7.46,5,Data Analyst
M.Tech,CSE,2020,6.56,10,Software Engineer
Other,AI,2021,6.54,5,Data Analyst
BCA,CE,2023,8.12,13,Software Engineer
M.Tech,CSE,2017,7.79,17,Software Engineer
B.Tech,AI,2023,7.78,12,AI Developer
B.Tech,Other,2020,8.37,16,Software Engineer
B.Tech,CSE,2016,6.83,10,Software Engineer
BCA,CSE,2023,7.62,17,Software Engineer
B.Tech,CSE,2024,6.43,5,Data Analyst
B.Tech,CSE,2024,7.19,6,Data Analyst
B.Tech,IT,2018,6.64,15,Software Engineer
M.Tech,ML,2022,6.92,8,Data Analyst
B.Tech,Other,2022,7.51,7,AI Developer
M.Tech,AI,2022,5.82,15,AI Developer
BCA,IT,2021,9.31,6,Software Engineer
BCA,CSE,2019,5.59,2,Data Analyst
PhD,AI,2016,5.34,17,Data Scientist
B.Tech,ML,2019,8.19,15,Data Scientist
B.Tech,IT,2018,7.75,15,Software Engineer
PhD,DS,2021,7.55,2,Data Analyst
B.Tech,IT,2016,7.55,12,Software Engineer
B.Tech,CSE,2016,6.79,11,Software Engineer
BCA,CSE,2019,5.72,16,Software Engineer
M.Tech,CSE,2022,6.89,15,Software Engineer
M.Tech,DS,2015,5.99,9,Data Analyst
B.Tech,DS,2024,7.97,17,Data Analyst
BCA,CSE,2016,6.62,2,Software Engineer
B.Tech,ML,2022,5.81,3,Manager
BCA,IT,2023,6.41,1,Software Engineer
BCA,CSE,2015,7.3,20,Software Engineer
B.Tech,AI,2017,6.12,3,Data Analyst
Other,CE,2023,5.81,18,Software Engineer
M.Tech,Other,2023,7.09,1,ML Developer
PhD,CE,2021,7.09,12,Software Engineer
B.Tech,CE,2016,6.19,12,Software Engineer
B.Tech,AI,2016,6.23,19,Data Scientist
BCA,CSE,2020,7.08,18,Software Engineer
B.Tech,AI,2022,5.06,16,Data Scientist
B.Tech,CSE,2022,5.11,2,Data Analyst
B.Tech,ML,2015,5.94,11,AI Developer
M.Tech,Other,2023,6.54,16,AI Developer
B.Tech,AI,2019,7.17,12,Data Scientist
B.Tech,AI,2019,8.57,4,ML Developer
B.Tech,IT,2022,7.83,13,Software Engineer
B.Tech,CSE,2022,6.61,12,Software Engineer
Other,IT,2016,6.78,14,Software Engineer
B.Tech,AI,2017,5.6,18,AI Developer
B.Tech,CE,2019,6.78,10,Software Engineer
B.Tech,ML,2017,6.45,15,AI Developer
B.Tech,ML,2020,7.19,20,Data Scientist
B.Tech,Other,2015,5.81,3,Data Scientist
M.Tech,IT,2017,7.42,1,Software Engineer
BCA,AI,2022,8.64,2,AI Developer
B.Tech,AI,2020,6.67,13,Data Analyst
B.Tech,CSE,2022,7.28,12,Software Engineer
B.Tech,ML,2024,7.63,5,ML Developer
B.Tech,AI,2018,6.32,4,Manager
BCA,IT,2021,7.07,18,Software Engineer
B.Tech,ML,2022,6.82,7,Data Analyst
B.Tech,DS,2022,6.92,7,Data Analyst
PhD,IT,2022,5.87,3,Data Analyst
M.Tech,ML,2023,6.83,18,AI Developer
PhD,DS,2017,7.4,12,Data Analyst
B.Tech,CSE,2017,8.54,8,Data Analyst
B.Tech,AI,2020,7.95,15,Data Scientist
M.Tech,AI,2016,9.38,3,AI Developer
Other,ML,2023,5.88,14,ML Developer
BCA,CE,2020,7.85,3,Data Analyst
M.Tech,IT,2017,7.02,18,Software Engineer
M.Tech,CSE,2017,9.43,14,Software Engineer
M.Tech,DS,2016,5.83,17,Data Analyst
B.Tech,CSE,2018,5.79,12,Software Engineer
Other,IT,2019,6.08,3,Data Analyst
B.Tech,Other,2019,4.25,5,Data Scientist
B.Tech,IT,2023,6.17,6,Software Engineer
B.Tech,AI,2024,5.89,11,Data Analyst
B.Tech,DS,2016,6.98,2,Data Scientist
BCA,CSE,2018,7.21,19,Software Engineer
B.Tech,AI,2022,9.05,18,AI Developer
Other,IT,2021,7.94,10,Software Engineer
M.Tech,AI,2017,6.11,15,ML Developer
M.Tech,CSE,2024,5.72,5,Data Analyst
PhD,CSE,2020,7.39,13,Software Engineer
B.Tech,IT,2023,5.22,4,Data Analyst
B.Tech,CSE,2022,9.0,8,Software Engineer
B.Tech,CSE,2021,8.22,20,Software Engineer
B.Tech,Other,2017,6.24,11,Data Analyst
BCA,CSE,2017,4.74,16,Software Engineer
Other,IT,2019,8.42,16,Software Engineer
B.Tech,DS,2023,6.66,15,Data Scientist
B.Tech,IT,2015,8.29,10,Software Engineer
M.Tech,DS,2022,4.89,10,Data Analyst
BCA,IT,2019,6.08,12,Software Engineer
BCA,IT,2021,6.81,2,Software Engineer
B.Tech,CSE,2021,6.86,17,Software Engineer
M.Tech,IT,2024,6.26,20,Software Engineer
B.Tech,Other,2021,7.55,12,AI Developer
M.Tech,IT,2017,5.52,7,Data Analyst
M.Tech,CE,2017,6.63,11,Software Engineer
BCA,IT,2017,6.94,20,Software Engineer
PhD,CSE,2024,7.42,11,Software Engineer
B.Tech,Other,2019,7.65,19,AI Developer
M.Tech,IT,2022,5.45,19,Software Engineer
B.Tech,ML,2020,4.96,11,Data Scientist
B.Tech,IT,2019,8.33,1,Data Analyst
B.Tech,AI,2024,7.2,19,AI Developer
B.Tech,IT,2023,5.9,20,Software Engineer
BCA,IT,2018,8.66,2,Software Engineer
B.Tech,IT,2021,6.94,5,Data Analyst
M.Tech,IT,2024,8.22,16,Software Engineer
PhD,ML,2015,6.88,5,Data Scientist
M.Tech,Other,2022,9.27,17,ML Developer
B.Tech,CSE,2023,8.91,11,Software Engineer
M.Tech,AI,2019,6.5,20,ML Developer
B.Tech,CSE,2023,7.97,10,Software Engineer
B.Tech,Other,2019,7.57,10,Data Scientist
B.Tech,ML,2020,8.44,16,AI Developer
Other,ML,2019,5.64,10,Manager
M.Tech,IT,2021,7.62,12,Software Engineer
Other,ML,2019,8.07,2,AI Developer
BCA,CSE,2022,4.69,9,Software Engineer
BCA,CSE,2023,5.38,9,Software Engineer
Other,AI,2017,4.35,4,Data Analyst
BCA,CSE,2015,6.48,17,Software Engineer
B.Tech,CSE,2016,7.66,14,Software Engineer
B.Tech,IT,2017,8.6,1,Software Engineer
B.Tech,DS,2022,6.89,16,Data Scientist
BCA,CSE,2019,8.75,2,Software Engineer
M.Tech,CSE,2015,5.14,6,Data Analyst
PhD,CSE,2015,4.76,13,Software Engineer
BCA,CSE,2019,6.73,2,Software Engineer
B.Tech,AI,2020,7.26,10,ML Developer
M.Tech,IT,2017,6.76,17,Software Engineer
M.Tech,CSE,2016,4.32,11,Software Engineer
B.Tech,IT,2019,6.69,6,Software Engineer
BCA,ML,2024,5.23,7,Software Engineer
M.Tech,AI,2021,7.6,14,ML Developer
B.Tech,AI,2017,7.24,5,ML Developer
Other,CE,2021,5.67,8,Data Analyst
BCA,Other,2019,6.18,19,Data Scientist
M.Tech,CSE,2020,5.53,8,Software Engineer
M.Tech,IT,2017,6.72,13,Software Engineer
M.Tech,DS,2019,7.95,4,Data Scientist
Other,IT,2018,5.62,8,Software Engineer
M.Tech,IT,2024,7.4,12,Software Engineer
B.Tech,IT,2022,6.16,18,Software Engineer
BCA,ML,2018,5.85,20,Manager
M.Tech,IT,2020,6.67,3,Software Engineer
B.Tech,IT,2023,5.56,7,Software Engineer
B.Tech,DS,2022,6.14,4,Data Scientist
BCA,IT,2023,5.36,15,Software Engineer
BCA,IT,2023,9.16,14,Software Engineer
M.Tech,CE,2022,6.84,10,Software Engineer
BCA,IT,2015,5.96,7,Software Engineer
B.Tech,CSE,2016,7.06,18,Software Engineer
Other,DS,2016,6.67,16,Data Analyst
B.Tech,ML,2021,6.53,12,ML Developer
B.Tech,DS,2021,7.54,13,Data Analyst
Other,DS,2017,7.71,12,Data Analyst
Other,IT,2017,6.16,8,Software Engineer
BCA,Other,2022,6.11,18,ML Developer
M.Tech,ML,2018,6.47,15,AI Developer
B.Tech,CSE,2016,4.04,2,Data Analyst
M.Tech,DS,2015,4.98,8,Data Analyst
B.Tech,CE,2024,8.44,2,Software Engineer
BCA,IT,2018,8.77,18,Software Engineer
B.Tech,DS,2015,6.5,5,Data Analyst
B.Tech,ML,2024,7.49,11,ML Developer
BCA,ML,2018,7.17,10,Data Scientist
Other,IT,2021,10.0,10,Software Engineer
B.Tech,AI,2024,8.14,6,ML Developer
B.Tech,IT,2020,6.65,13,Software Engineer
BCA,CSE,2021,5.65,14,Software Engineer
B.Tech,IT,2023,4.87,16,Software Engineer
B.Tech,CSE,2017,7.04,15,Software Engineer
Other,AI,2021,5.89,18,Data Analyst
B.Tech,CSE,2018,5.09,11,Software Engineer
M.Tech,DS,2020,6.02,3,Data Analyst
BCA,CE,2021,5.5,20,Software Engineer
M.Tech,DS,2018,8.82,19,Data Scientist
M.Tech,IT,2020,7.86,10,Software Engineer
Other,CE,2018,6.79,4,Data Analyst
Other,AI,2018,8.58,13,Data Scientist
M.Tech,ML,2021,6.89,15,Data Analyst
M.Tech,CSE,2020,5.77,17,Software Engineer
PhD,IT,2022,8.63,11,Software Engineer
Other,IT,2021,7.45,2,Software Engineer
BCA,CE,2023,5.56,19,Software Engineer
M.Tech,IT,2017,6.57,7,Data Analyst
B.Tech,AI,2018,5.75,16,Data Analyst
M.Tech,AI,2019,5.14,16,Data Scientist
M.Tech,IT,2017,7.91,12,Software Engineer
B.Tech,ML,2022,9.09,6,Data Scientist
M.Tech,AI,2015,5.12,17,Manager
BCA,CE,2015,7.48,1,Data Analyst
B.Tech,AI,2016,6.02,5,Manager
B.Tech,IT,2015,6.22,20,Software Engineer
M.Tech,DS,2022,6.09,16,Data Analyst
M.Tech,IT,2015,5.76,17,Software Engineer
BCA,IT,2019,6.86,1,Data Analyst
BCA,DS,2016,5.8,4,Data Analyst
B.Tech,AI,2019,7.12,12,AI Developer
B.Tech,IT,2021,6.74,15,Software Engineer
M.Tech,Other,2018,6.51,10,Data Scientist
BCA,CE,2015,5.71,3,Data Analyst
B.Tech,AI,2015,6.11,1,Data Scientist
B.Tech,IT,2021,7.71,11,Software Engineer
M.Tech,DS,2016,7.4,17,Data Scientist
B.Tech,DS,2024,5.63,16,Data Analyst
Other,AI,2019,6.92,18,Data Analyst
M.Tech,CSE,2020,7.7,1,Software Engineer
M.Tech,ML,2021,4.8,3,AI Developer
B.Tech,CSE,2021,7.45,18,Software Engineer
B.Tech,ML,2017,6.0,3,Data Analyst
BCA,CSE,2016,7.48,14,Software Engineer
B.Tech,CE,2024,5.88,20,Software Engineer
Other,IT,2020,4.63,1,Data Analyst
BCA,IT,2018,4.85,12,Software Engineer
M.Tech,IT,2017,6.86,19,Software Engineer
M.Tech,CE,2024,7.11,10,Software Engineer
BCA,ML,2016,5.71,9,Software Engineer
B.Tech,ML,2017,7.57,13,AI Developer
B.Tech,CE,2019,4.81,15,Software Engineer
B.Tech,CSE,2017,6.72,3,Software Engineer
B.Tech,AI,2023,5.35,14,Manager
B.Tech,IT,2016,6.02,20,Software Engineer
M.Tech,CSE,2021,6.86,1,Data Analyst
B.Tech,ML,2023,5.77,8,Data Analyst
M.Tech,AI,2017,6.34,5,AI Developer
B.Tech,IT,2016,8.01,6,Data Analyst
B.Tech,CSE,2016,6.11,12,Software Engineer
B.Tech,CSE,2022,7.8,20,Software Engineer
M.Tech,IT,2017,5.44,10,Software Engineer
B.Tech,IT,2024,7.44,13,Software Engineer
BCA,CSE,2020,8.53,14,Software Engineer
BCA,DS,2024,3.83,5,Data Analyst
M.Tech,AI,2022,5.84,11,Software Engineer
Other,Other,2019,7.49,16,Data Analyst
BCA,CSE,2019,6.56,13,Software Engineer
B.Tech,DS,2018,7.25,19,Data Scientist
B.Tech,ML,2015,6.08,15,Data Scientist
B.Tech,ML,2016,6.9,14,Data Scientist
M.Tech,AI,2018,6.61,9,Data Scientist
B.Tech,IT,2021,8.2,3,Data Analyst
Other,IT,2021,7.11,18,Software Engineer
M.Tech,DS,2021,7.21,18,Data Analyst
Other,ML,2023,6.31,20,Data Scientist
Other,CSE,2018,6.21,12,Software Engineer
B.Tech,AI,2024,6.28,13,AI Developer
Other,IT,2015,7.27,4,Data Analyst
B.Tech,ML,2023,6.29,19,Data Scientist
M.Tech,IT,2021,7.15,15,Software Engineer
BCA,AI,2023,9.29,5,AI Developer
B.Tech,CSE,2021,7.85,3,Software Engineer
BCA,ML,2020,6.41,10,AI Developer
M.Tech,CSE,2022,8.24,12,Software Engineer
M.Tech,IT,2022,6.31,11,Software Engineer
B.Tech,CE,2016,4.35,1,Data Analyst
M.Tech,AI,2017,5.59,8,Data Analyst
B.Tech,CSE,2023,4.56,14,Software Engineer
Other,CSE,2021,6.38,6,Software Engineer
M.Tech,IT,2015,6.82,20,Software Engineer
PhD,IT,2021,8.81,13,Software Engineer
B.Tech,CSE,2019,7.19,3,Software Engineer
BCA,IT,2020,6.54,11,Software Engineer
